ProductID,ProductName,ProductNumber,Color,Size,StandardCost,ListPrice
514,LL Mountain Seat Assembly,SA-M198,,,98.77,133.34
515,ML Mountain Seat Assembly,SA-M237,,,108.99,147.14
516,HL Mountain Seat Assembly,SA-M687,,,145.87,196.92
517,LL Road Seat Assembly,SA-R127,,,98.77,133.34
518,ML Road Seat Assembly,SA-R430,,,108.99,147.14
519,HL Road Seat Assembly,SA-R522,,,145.87,196.92
520,LL Touring Seat Assembly,SA-T467,,,98.77,133.34
521,ML Touring Seat Assembly,SA-T612,,,108.99,147.14
522,HL Touring Seat Assembly,SA-T872,,,145.87,196.92
680,"HL Road Frame - Black, 58",FR-R92B-58,Black,58,1059.31,1431.5
706,"HL Road Frame - Red, 58",FR-R92R-58,Red,58,1059.31,1431.5
707,"Sport-100 Helmet, Red",HL-U509-R,Red,,13.0863,34.99
708,"Sport-100 Helmet, Black",HL-U509,Black,,13.0863,34.99
709,"Mountain Bike Socks, M",SO-B909-M,White,M,3.3963,9.5
710,"Mountain Bike Socks, L",SO-B909-L,White,L,3.3963,9.5
711,"Sport-100 Helmet, Blue",HL-U509-B,Blue,,13.0863,34.99
712,AWC Logo Cap,CA-1098,Multi,,6.9223,8.99
713,"Long-Sleeve Logo Jersey, S",LJ-0192-S,Multi,S,38.4923,49.99
714,"Long-Sleeve Logo Jersey, M",LJ-0192-M,Multi,M,38.4923,49.99
715,"Long-Sleeve Logo Jersey, L",LJ-0192-L,Multi,L,38.4923,49.99
716,"Long-Sleeve Logo Jersey, XL",LJ-0192-X,Multi,XL,38.4923,49.99
717,"HL Road Frame - Red, 62",FR-R92R-62,Red,62,868.6342,1431.5
718,"HL Road Frame - Red, 44",FR-R92R-44,Red,44,868.6342,1431.5
719,"HL Road Frame - Red, 48",FR-R92R-48,Red,48,868.6342,1431.5
720,"HL Road Frame - Red, 52",FR-R92R-52,Red,52,868.6342,1431.5
721,"HL Road Frame - Red, 56",FR-R92R-56,Red,56,868.6342,1431.5
722,"LL Road Frame - Black, 58",FR-R38B-58,Black,58,204.6251,337.22
723,"LL Road Frame - Black, 60",FR-R38B-60,Black,60,204.6251,337.22
724,"LL Road Frame - Black, 62",FR-R38B-62,Black,62,204.6251,337.22
725,"LL Road Frame - Red, 44",FR-R38R-44,Red,44,187.1571,337.22
726,"LL Road Frame - Red, 48",FR-R38R-48,Red,48,187.1571,337.22
727,"LL Road Frame - Red, 52",FR-R38R-52,Red,52,187.1571,337.22
728,"LL Road Frame - Red, 58",FR-R38R-58,Red,58,187.1571,337.22
